task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
  47  1468505896.21453500  1468505896.21489811  0.00036311
  48  1468505896.21498108  1468505896.21534491  0.00036383
  49  1468505896.21542692  1468505896.21579909  0.00037217
  50  1468505896.21588111  1468505896.21624589  0.00036478
  51  1468505896.21632791  1468505896.21669292  0.00036502
  52  1468505896.21677589  1468505896.21714091  0.00036502
  53  1468505896.21722388  1468505896.21758890  0.00036502
  54  1468505896.21767092  1468505896.21803594  0.00036502
  55  1468505896.21811891  1468505896.21848297  0.00036407
  56  1468505896.21856403  1468505896.21892810  0.00036407
  57  1468505896.21901107  1468505896.21937490  0.00036383
  58  1468505896.21945906  1468505896.21982288  0.00036383
  59  1468505896.21990705  1468505896.22027111  0.00036407
  60  1468505896.22040892  1468505896.22077990  0.00037098
  61  1468505896.22086501  1468505896.22123194  0.00036693
  62  1468505896.22131705  1468505896.22168708  0.00037003
  63  1468505896.22177005  1468505896.22213697  0.00036693
  64  1468505896.22222090  1468505896.22258902  0.00036812
  65  1468505896.22267294  1468505896.22304201  0.00036907
  66  1468505896.22312593  1468505896.22349501  0.00036907
  67  1468505896.22357988  1468505896.22394705  0.00036716
  68  1468505896.22403097  1468505896.22439909  0.00036812
  69  1468505896.22448301  1468505896.22484708  0.00036407
  70  1468505896.22492790  1468505896.22529507  0.00036716
  71  1468505896.22537899  1468505896.22575307  0.00037408
  72  1468505896.22583699  1468505896.22620511  0.00036812
  73  1468505896.22628999  1468505896.22665811  0.00036812
  74  1468505896.22674203  1468505896.22710800  0.00036597
  75  1468505896.22719193  1468505896.22756004  0.00036812
  76  1468505896.22764397  1468505896.22801208  0.00036812
  77  1468505896.22809505  1468505896.22846508  0.00037003
  78  1468505896.22854805  1468505896.22891212  0.00036407
  79  1468505896.22899389  1468505896.22935605  0.00036216
  80  1468505896.22943902  1468505896.22980404  0.00036502
  81  1468505896.22988605  1468505896.23025203  0.00036597
  82  1468505896.23038602  1468505896.23068690  0.00030088
  83  1468505896.23077297  1468505896.23113894  0.00036597
  84  1468505896.23122001  1468505896.23158193  0.00036192
  85  1468505896.23166490  1468505896.23202991  0.00036502
  86  1468505896.23211193  1468505896.23247910  0.00036716
  87  1468505896.23256302  1468505896.23292589  0.00036287
  88  1468505896.23300791  1468505896.23337197  0.00036407
  89  1468505896.23345494  1468505896.23382306  0.00036812
  90  1468505896.23390698  1468505896.23427010  0.00036311
  91  1468505896.23435211  1468505896.23471594  0.00036383
  92  1468505896.23479795  1468505896.23516202  0.00036407
  93  1468505896.23524594  1468505896.23562407  0.00037813
  94  1468505896.23570704  1468505896.23607492  0.00036788
  95  1468505896.23615909  1468505896.23652697  0.00036788
  96  1468505896.23660898  1468505896.23697400  0.00036502
  97  1468505896.23705697  1468505896.23742104  0.00036407
  98  1468505896.23750305  1468505896.23786592  0.00036287
  99  1468505896.23794794  1468505896.23831296  0.00036502
 100  1468505896.23839593  1468505896.23876095  0.00036502
 101  1468505896.23884392  1468505896.23920798  0.00036407
 102  1468505896.23929095  1468505896.23965597  0.00036502
 103  1468505896.23973894  1468505896.24010396  0.00036502
 104  1468505896.24018693  1468505896.24055696  0.00037003
