task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
  47  1468506024.08052111  1468506024.08087993  0.00035882
  48  1468506024.08096099  1468506024.08131504  0.00035405
  49  1468506024.08139491  1468506024.08174896  0.00035405
  50  1468506024.08183098  1468506024.08218503  0.00035405
  51  1468506024.08226609  1468506024.08261895  0.00035286
  52  1468506024.08270097  1468506024.08305311  0.00035214
  53  1468506024.08313394  1468506024.08348703  0.00035310
  54  1468506024.08356810  1468506024.08392191  0.00035381
  55  1468506024.08400297  1468506024.08435702  0.00035405
  56  1468506024.08443689  1468506024.08479190  0.00035501
  57  1468506024.08487391  1468506024.08522606  0.00035214
  58  1468506024.08530593  1468506024.08566904  0.00036311
  59  1468506024.08575010  1468506024.08621192  0.00046182
  60  1468506024.08629298  1468506024.08675408  0.00046110
  61  1468506024.08683395  1468506024.08729601  0.00046206
  62  1468506024.08737707  1468506024.08784008  0.00046301
  63  1468506024.08792090  1468506024.08838296  0.00046206
  64  1468506024.08846402  1468506024.08892488  0.00046086
  65  1468506024.08900499  1468506024.08946300  0.00045800
  66  1468506024.08954406  1468506024.09000492  0.00046086
  67  1468506024.09008598  1468506024.09045005  0.00036407
  68  1468506024.09053612  1468506024.09100103  0.00046492
  69  1468506024.09108305  1468506024.09154391  0.00046086
  70  1468506024.09162498  1468506024.09208608  0.00046110
  71  1468506024.09216809  1468506024.09262800  0.00045991
  72  1468506024.09270906  1468506024.09316993  0.00046086
  73  1468506024.09325099  1468506024.09371090  0.00045991
  74  1468506024.09379101  1468506024.09425211  0.00046110
  75  1468506024.09433293  1468506024.09479308  0.00046015
  76  1468506024.09487391  1468506024.09523106  0.00035715
  77  1468506024.09531212  1468506024.09567189  0.00035977
  78  1468506024.09575295  1468506024.09621596  0.00046301
  79  1468506024.09629703  1468506024.09675288  0.00045586
  80  1468506024.09683394  1468506024.09729195  0.00045800
  81  1468506024.09737301  1468506024.09772801  0.00035501
  82  1468506024.09780788  1468506024.09816194  0.00035405
  83  1468506024.09824109  1468506024.09859490  0.00035381
  84  1468506024.09867501  1468506024.09902906  0.00035405
