task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
  47  1468506049.11880803  1468506049.11881804  0.00001001
  48  1468506049.11888409  1468506049.11889505  0.00001097
  49  1468506049.11896205  1468506049.11897206  0.00001001
  50  1468506049.11903906  1468506049.11904907  0.00001001
  51  1468506049.11911702  1468506049.11912704  0.00001001
  52  1468506049.11919403  1468506049.11920500  0.00001097
  53  1468506049.11927104  1468506049.11928105  0.00001001
  54  1468506049.11934805  1468506049.11935806  0.00001001
  55  1468506049.11942506  1468506049.11943603  0.00001097
  56  1468506049.11950302  1468506049.11951303  0.00001001
  57  1468506049.11958003  1468506049.11959100  0.00001097
  58  1468506049.11965704  1468506049.11966801  0.00001097
  59  1468506049.11973500  1468506049.11974812  0.00001311
  60  1468506049.11981392  1468506049.11982489  0.00001097
  61  1468506049.11989188  1468506049.11990309  0.00001121
  62  1468506049.11996889  1468506049.11998010  0.00001121
  63  1468506049.12005091  1468506049.12006211  0.00001121
  64  1468506049.12012911  1468506049.12014008  0.00001097
  65  1468506049.12020612  1468506049.12021708  0.00001097
  66  1468506049.12028408  1468506049.12029505  0.00001097
  67  1468506049.12040305  1468506049.12041402  0.00001097
  68  1468506049.12048888  1468506049.12050200  0.00001311
  69  1468506049.12057209  1468506049.12058306  0.00001097
  70  1468506049.12065005  1468506049.12066102  0.00001097
  71  1468506049.12073112  1468506049.12074399  0.00001287
  72  1468506049.12081003  1468506049.12082100  0.00001097
  73  1468506049.12088799  1468506049.12089896  0.00001097
  74  1468506049.12096596  1468506049.12097692  0.00001097
  75  1468506049.12104511  1468506049.12105489  0.00000978
  76  1468506049.12112093  1468506049.12113190  0.00001097
  77  1468506049.12120008  1468506049.12121010  0.00001001
  78  1468506049.12127709  1468506049.12128711  0.00001001
  79  1468506049.12135410  1468506049.12136412  0.00001001
  80  1468506049.12143111  1468506049.12144208  0.00001097
  81  1468506049.12150788  1468506049.12151790  0.00001001
  82  1468506049.12158608  1468506049.12159610  0.00001001
  83  1468506049.12166405  1468506049.12167406  0.00001001
  84  1468506049.12174106  1468506049.12175107  0.00001001
  85  1468506049.12181807  1468506049.12182903  0.00001097
  86  1468506049.12189603  1468506049.12190700  0.00001097
  87  1468506049.12197399  1468506049.12198400  0.00001001
  88  1468506049.12205100  1468506049.12206101  0.00001001
  89  1468506049.12212896  1468506049.12213898  0.00001001
  90  1468506049.12220597  1468506049.12221599  0.00001001
  91  1468506049.12228298  1468506049.12229300  0.00001001
  92  1468506049.12235904  1468506049.12236905  0.00001001
  93  1468506049.12243605  1468506049.12244701  0.00001097
  94  1468506049.12251306  1468506049.12252307  0.00001001
  95  1468506049.12259102  1468506049.12260103  0.00001001
  96  1468506049.12266803  1468506049.12267900  0.00001097
  97  1468506049.12274504  1468506049.12275600  0.00001097
  98  1468506049.12282205  1468506049.12283206  0.00001001
  99  1468506049.12289906  1468506049.12290907  0.00001001
 100  1468506049.12297511  1468506049.12298608  0.00001097
 101  1468506049.12305188  1468506049.12306309  0.00001121
 102  1468506049.12313008  1468506049.12314105  0.00001097
 103  1468506049.12320900  1468506049.12321901  0.00001001
 104  1468506049.12328601  1468506049.12329698  0.00001097
 105  1468506049.12336302  1468506049.12337399  0.00001097
 106  1468506049.12344098  1468506049.12345099  0.00001001
 107  1468506049.12351704  1468506049.12352800  0.00001097
 108  1468506049.12359500  1468506049.12360501  0.00001001
 109  1468506049.12367201  1468506049.12368202  0.00001001
 110  1468506049.12374902  1468506049.12375998  0.00001097
 111  1468506049.12382698  1468506049.12383699  0.00001001
 112  1468506049.12390494  1468506049.12391496  0.00001001
 113  1468506049.12398291  1468506049.12399292  0.00001001
 114  1468506049.12405992  1468506049.12406993  0.00001001
 115  1468506049.12413692  1468506049.12414789  0.00001097
 116  1468506049.12421489  1468506049.12422490  0.00001001
 117  1468506049.12429404  1468506049.12430406  0.00001001
 118  1468506049.12437010  1468506049.12438107  0.00001097
 119  1468506049.12444806  1468506049.12446189  0.00001383
 120  1468506049.12452793  1468506049.12453890  0.00001097
 121  1468506049.12463903  1468506049.12465000  0.00001097
